batch_id,corp_code,stock_code,corp_name,signal_name,required_account,found,matched_account_nm,matched_account_id,years_found,sj_divs,fs_divs,status,recommended_action
kosdaq_003,00923792,168330,(주)내츄럴엔도텍,어닝 서프라이즈,매출액,true,매출액,ifrs-full_Revenue,"2019, 2020, 2021, 2022, 2023",CIS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00923792,168330,(주)내츄럴엔도텍,어닝 서프라이즈,영업이익,false,,,,,,not_found_in_single_all,"전체 재무제표 API 본문에서 직접 찾지 못했습니다. 필요 시 XBRL, 주석, 원문 확인이 필요합니다."
kosdaq_003,00923792,168330,(주)내츄럴엔도텍,흑자 전환,영업이익,false,,,,,,not_found_in_single_all,"전체 재무제표 API 본문에서 직접 찾지 못했습니다. 필요 시 XBRL, 주석, 원문 확인이 필요합니다."
kosdaq_003,00923792,168330,(주)내츄럴엔도텍,자산 가동률 상승,매출액,true,매출액,ifrs-full_Revenue,"2019, 2020, 2021, 2022, 2023",CIS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00923792,168330,(주)내츄럴엔도텍,자산 가동률 상승,재고자산,true,"유동재고자산, 재고자산",ifrs-full_Inventories,"2019, 2020, 2021, 2022, 2023",BS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00923792,168330,(주)내츄럴엔도텍,자산 가동률 상승,매출채권,true,매출채권,dart_ShortTermTradeReceivable,2019,BS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00923792,168330,(주)내츄럴엔도텍,Capa 확대,유형자산,true,유형자산,ifrs-full_PropertyPlantAndEquipment,"2019, 2020, 2021, 2022, 2023",BS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00923792,168330,(주)내츄럴엔도텍,M&A 및 신사업 진출,주요사항보고서/원문 키워드,false,,,,,,needs_manual_review,재무제표 계정이 아니라 주요사항보고서 또는 사업보고서 원문 키워드 기반으로 확인해야 합니다.
kosdaq_003,00923792,168330,(주)내츄럴엔도텍,재무 구조 개선,부채총계,true,부채총계,ifrs-full_Liabilities,"2019, 2020, 2021, 2022, 2023",BS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00923792,168330,(주)내츄럴엔도텍,재무 구조 개선,자본총계,true,자본총계,ifrs-full_Equity,"2019, 2020, 2021, 2022, 2023","BS, SCE",,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00923792,168330,(주)내츄럴엔도텍,현금 창출력 강화,영업활동현금흐름,true,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,"2019, 2020, 2021, 2022, 2023",CF,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00923792,168330,(주)내츄럴엔도텍,이자 부담 해소,단기차입금,true,단기차입금,ifrs-full_ShorttermBorrowings,"2019, 2020, 2023",BS,,found_in_single_all,"단기차입금, 장기차입금, 사채를 합산해 차입금의존도 계산 구성요소로 사용합니다."
kosdaq_003,00923792,168330,(주)내츄럴엔도텍,이자 부담 해소,장기차입금,true,장기차입금,"-표준계정코드 미사용-, dart_LongTermBorrowingsGross","2019, 2020, 2021, 2023",BS,,found_in_single_all,"단기차입금, 장기차입금, 사채를 합산해 차입금의존도 계산 구성요소로 사용합니다."
kosdaq_003,00923792,168330,(주)내츄럴엔도텍,이자 부담 해소,사채,false,,,,,,not_found_in_single_all,"단기차입금, 장기차입금, 사채를 합산해 차입금의존도 계산 구성요소로 사용합니다."
kosdaq_003,00923792,168330,(주)내츄럴엔도텍,이자 부담 해소,자산총계,true,자산총계,ifrs-full_Assets,"2019, 2020, 2021, 2022, 2023",BS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00957373,168360,(주)펨트론,부채 과다,부채총계,true,부채총계,ifrs-full_Liabilities,"2022, 2023",BS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00957373,168360,(주)펨트론,부채 과다,자본총계,true,자본총계,ifrs-full_Equity,"2022, 2023","BS, SCE",,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00957373,168360,(주)펨트론,실적 급락,매출액,true,매출액,ifrs-full_Revenue,"2022, 2023",CIS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00957373,168360,(주)펨트론,실적 급락,영업이익,true,영업이익,dart_OperatingIncomeLoss,2023,CIS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00957373,168360,(주)펨트론,수익성 악화,영업이익,true,영업이익,dart_OperatingIncomeLoss,2023,CIS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00957373,168360,(주)펨트론,수익성 악화2,당기순이익,true,당기순이익,"-표준계정코드 미사용-, ifrs-full_ProfitLoss","2022, 2023","CF, CIS, SCE",,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00957373,168360,(주)펨트론,영업현금흐름 적자 지속,영업활동현금흐름,true,"영업활동으로 인한 현금흐름, 영업활동현금흐름",ifrs-full_CashFlowsFromUsedInOperatingActivities,"2022, 2023",CF,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00957373,168360,(주)펨트론,매출채권 회수 지연,매출액,true,매출액,ifrs-full_Revenue,"2022, 2023",CIS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00957373,168360,(주)펨트론,매출채권 회수 지연,매출채권,false,,,,,,not_found_in_single_all,"전체 재무제표 API 본문에서 직접 찾지 못했습니다. 필요 시 XBRL, 주석, 원문 확인이 필요합니다."
kosdaq_003,00957373,168360,(주)펨트론,재고 적체,매출액,true,매출액,ifrs-full_Revenue,"2022, 2023",CIS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00957373,168360,(주)펨트론,재고 적체,재고자산,true,재고자산,ifrs-full_Inventories,"2022, 2023",BS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00957373,168360,(주)펨트론,단기 상환 압박,현금및현금성자산,true,현금및현금성자산,ifrs-full_CashAndCashEquivalents,"2022, 2023",BS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00957373,168360,(주)펨트론,단기 상환 압박,유동부채,true,유동부채,ifrs-full_CurrentLiabilities,"2022, 2023",BS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00957373,168360,(주)펨트론,이자 부담 능력,영업이익,true,영업이익,dart_OperatingIncomeLoss,2023,CIS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00957373,168360,(주)펨트론,이자 부담 능력,이자비용,true,금융비용,"-표준계정코드 미사용-, ifrs-full_FinanceCosts","2022, 2023",CIS,,proxy_candidate,이자비용 직접 계정은 없고 금융비용만 확인됩니다. 실제 계산 사용 여부는 사람이 결정해야 합니다.
kosdaq_003,00957373,168360,(주)펨트론,비용 레버리지 위험,매출액,true,매출액,ifrs-full_Revenue,"2022, 2023",CIS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00957373,168360,(주)펨트론,비용 레버리지 위험,영업이익,true,영업이익,dart_OperatingIncomeLoss,2023,CIS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00957373,168360,(주)펨트론,매출 퀀텀 점프,매출액,true,매출액,ifrs-full_Revenue,"2022, 2023",CIS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00957373,168360,(주)펨트론,어닝 서프라이즈,매출액,true,매출액,ifrs-full_Revenue,"2022, 2023",CIS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00957373,168360,(주)펨트론,어닝 서프라이즈,영업이익,true,영업이익,dart_OperatingIncomeLoss,2023,CIS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00957373,168360,(주)펨트론,흑자 전환,영업이익,true,영업이익,dart_OperatingIncomeLoss,2023,CIS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00957373,168360,(주)펨트론,자산 가동률 상승,매출액,true,매출액,ifrs-full_Revenue,"2022, 2023",CIS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00957373,168360,(주)펨트론,자산 가동률 상승,재고자산,true,재고자산,ifrs-full_Inventories,"2022, 2023",BS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00957373,168360,(주)펨트론,자산 가동률 상승,매출채권,false,,,,,,not_found_in_single_all,"전체 재무제표 API 본문에서 직접 찾지 못했습니다. 필요 시 XBRL, 주석, 원문 확인이 필요합니다."
kosdaq_003,00957373,168360,(주)펨트론,Capa 확대,유형자산,true,유형자산,ifrs-full_PropertyPlantAndEquipment,"2022, 2023",BS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00957373,168360,(주)펨트론,M&A 및 신사업 진출,주요사항보고서/원문 키워드,false,,,,,,needs_manual_review,재무제표 계정이 아니라 주요사항보고서 또는 사업보고서 원문 키워드 기반으로 확인해야 합니다.
kosdaq_003,00957373,168360,(주)펨트론,재무 구조 개선,부채총계,true,부채총계,ifrs-full_Liabilities,"2022, 2023",BS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00957373,168360,(주)펨트론,재무 구조 개선,자본총계,true,자본총계,ifrs-full_Equity,"2022, 2023","BS, SCE",,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00957373,168360,(주)펨트론,현금 창출력 강화,영업활동현금흐름,true,"영업활동으로 인한 현금흐름, 영업활동현금흐름",ifrs-full_CashFlowsFromUsedInOperatingActivities,"2022, 2023",CF,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00957373,168360,(주)펨트론,이자 부담 해소,단기차입금,true,단기차입금,ifrs-full_ShorttermBorrowings,"2022, 2023",BS,,found_in_single_all,"단기차입금, 장기차입금, 사채를 합산해 차입금의존도 계산 구성요소로 사용합니다."
kosdaq_003,00957373,168360,(주)펨트론,이자 부담 해소,장기차입금,true,장기차입금,dart_LongTermBorrowingsGross,"2022, 2023",BS,,found_in_single_all,"단기차입금, 장기차입금, 사채를 합산해 차입금의존도 계산 구성요소로 사용합니다."
kosdaq_003,00957373,168360,(주)펨트론,이자 부담 해소,사채,false,,,,,,not_found_in_single_all,"단기차입금, 장기차입금, 사채를 합산해 차입금의존도 계산 구성요소로 사용합니다."
kosdaq_003,00957373,168360,(주)펨트론,이자 부담 해소,자산총계,true,자산총계,ifrs-full_Assets,"2022, 2023",BS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00877174,169330,(주)마크로밀엠브레인,부채 과다,부채총계,true,부채총계,ifrs-full_Liabilities,"2020, 2021, 2022, 2023",BS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00877174,169330,(주)마크로밀엠브레인,부채 과다,자본총계,true,자본총계,ifrs-full_Equity,"2020, 2021, 2022, 2023",BS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00877174,169330,(주)마크로밀엠브레인,실적 급락,매출액,true,매출액,ifrs-full_Revenue,"2020, 2021, 2022, 2023",CIS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00877174,169330,(주)마크로밀엠브레인,실적 급락,영업이익,true,영업이익,dart_OperatingIncomeLoss,"2020, 2021, 2022, 2023",CIS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00877174,169330,(주)마크로밀엠브레인,수익성 악화,영업이익,true,영업이익,dart_OperatingIncomeLoss,"2020, 2021, 2022, 2023",CIS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00877174,169330,(주)마크로밀엠브레인,수익성 악화2,당기순이익,true,당기순이익,ifrs-full_ProfitLoss,"2020, 2021, 2022, 2023","CIS, SCE",,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00877174,169330,(주)마크로밀엠브레인,영업현금흐름 적자 지속,영업활동현금흐름,true,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,"2020, 2021, 2022, 2023",CF,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00877174,169330,(주)마크로밀엠브레인,매출채권 회수 지연,매출액,true,매출액,ifrs-full_Revenue,"2020, 2021, 2022, 2023",CIS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00877174,169330,(주)마크로밀엠브레인,매출채권 회수 지연,매출채권,false,,,,,,not_found_in_single_all,"전체 재무제표 API 본문에서 직접 찾지 못했습니다. 필요 시 XBRL, 주석, 원문 확인이 필요합니다."
kosdaq_003,00877174,169330,(주)마크로밀엠브레인,재고 적체,매출액,true,매출액,ifrs-full_Revenue,"2020, 2021, 2022, 2023",CIS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00877174,169330,(주)마크로밀엠브레인,재고 적체,재고자산,false,,,,,,not_found_in_single_all,"전체 재무제표 API 본문에서 직접 찾지 못했습니다. 필요 시 XBRL, 주석, 원문 확인이 필요합니다."
kosdaq_003,00877174,169330,(주)마크로밀엠브레인,단기 상환 압박,현금및현금성자산,true,현금및현금성자산,ifrs-full_CashAndCashEquivalents,"2020, 2021, 2022, 2023",BS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00877174,169330,(주)마크로밀엠브레인,단기 상환 압박,유동부채,true,유동부채,ifrs-full_CurrentLiabilities,"2020, 2021, 2022, 2023",BS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00877174,169330,(주)마크로밀엠브레인,이자 부담 능력,영업이익,true,영업이익,dart_OperatingIncomeLoss,"2020, 2021, 2022, 2023",CIS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00877174,169330,(주)마크로밀엠브레인,이자 부담 능력,이자비용,true,이자비용,dart_AdjustmentsForInterestExpenses,"2020, 2021, 2022, 2023",CF,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00877174,169330,(주)마크로밀엠브레인,비용 레버리지 위험,매출액,true,매출액,ifrs-full_Revenue,"2020, 2021, 2022, 2023",CIS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00877174,169330,(주)마크로밀엠브레인,비용 레버리지 위험,영업이익,true,영업이익,dart_OperatingIncomeLoss,"2020, 2021, 2022, 2023",CIS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kosdaq_003,00877174,169330,(주)마크로밀엠브레인,매출 퀀텀 점프,매출액,true,매출액,ifrs-full_Revenue,"2020, 2021, 2022, 2023",CIS,,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
